ATG,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G23220,0,0,1,1,1,0,1
AT1G23260,0,0,0,1,0,0,0
AT1G23380,0,0,0,0,0,0,1
AT1G23390,0,0,0,1,0,0,0
AT1G23440,0,0,1,1,1,0,1
AT1G23450,0,0,0,1,0,0,0
AT1G23460,0,0,0,1,0,0,0
AT1G23550,1,0,1,1,1,1,1
AT1G23560,0,0,1,1,1,1,1
AT1G23700,0,0,0,1,0,0,0
AT1G23710,1,1,1,1,1,1,1
AT1G23730,0,0,0,1,1,1,1
AT1G23830,0,1,1,1,1,1,1
AT1G23840,1,1,1,1,1,1,1
AT1G23850,0,0,1,1,1,0,1
AT1G23900,0,0,0,1,0,0,0
AT1G24100,0,0,1,1,1,1,1
AT1G24140,0,1,1,1,1,1,1
AT1G24145,1,1,1,1,1,1,1
AT1G24147,1,1,1,1,1,1,1
AT1G24148,1,1,1,1,1,1,1
AT1G24150,1,1,1,1,1,1,1
AT1G24210,0,0,0,1,0,0,0
AT1G24270,1,1,1,1,1,1,1
AT1G24280,0,0,1,0,0,0,0
AT1G24350,0,0,0,1,0,0,0
AT1G24400,0,0,0,1,0,0,0
AT1G24440,0,0,0,1,0,0,0
AT1G24460,0,0,0,1,0,0,0
AT1G24600,0,0,0,1,0,0,0
AT1G24807,1,1,1,1,1,1,1
AT1G24909,1,1,1,1,1,1,1
AT1G25083,1,1,1,1,1,1,1
AT1G25155,1,1,1,1,1,1,1
AT1G25220,1,1,1,1,1,1,1
AT1G25275,0,0,1,1,1,1,1
AT1G25280,0,0,1,1,1,0,0
AT1G25370,0,1,1,1,1,1,1
AT1G25390,1,1,1,1,1,1,1
AT1G25400,1,1,1,1,1,1,1
AT1G25460,0,0,1,1,0,0,0
AT1G25550,0,0,0,1,0,1,0
AT1G25560,0,0,1,1,0,0,1
AT1G25570,0,0,1,0,0,0,0
AT1G25682,0,0,1,1,0,1,0
AT1G25988,0,0,0,0,1,1,0
AT1G26130,0,0,1,1,1,0,0
AT1G26240,0,1,1,1,0,1,1
AT1G26300,0,0,0,1,0,0,0
AT1G26380,1,1,1,1,1,1,1
AT1G26390,0,0,0,1,1,1,1
AT1G26410,1,1,1,1,1,1,1
AT1G26420,1,1,1,1,1,1,1
AT1G26440,0,0,1,1,0,0,1
AT1G26580,0,0,0,1,0,0,0
AT1G26670,0,0,0,1,0,0,0
AT1G26690,0,0,1,1,1,1,1
AT1G26730,0,0,1,1,1,1,1
AT1G26770,0,0,1,0,0,1,1
AT1G26800,0,0,1,1,1,1,1
AT1G27020,0,0,0,0,1,1,1
AT1G27100,1,1,1,1,1,1,1
AT1G27110,0,0,1,0,0,1,1
AT1G27130,0,0,1,1,1,0,1
AT1G27180,0,0,0,1,0,0,0
AT1G27300,0,0,0,1,0,0,0
AT1G27330,0,1,1,1,1,1,1
AT1G27350,0,0,1,1,1,1,1
AT1G27500,0,0,0,1,0,0,0
AT1G27710,0,0,0,1,0,0,0
AT1G27720,0,0,1,1,1,1,0
AT1G27730,1,1,1,1,1,1,1
AT1G27760,0,0,0,1,0,0,0
AT1G27770,1,1,1,1,1,1,1
AT1G27890,0,0,0,1,0,0,0
AT1G27960,0,0,0,0,1,0,0
AT1G27980,0,0,1,1,1,0,1
AT1G28010,0,0,1,1,0,0,0
